,Type,Total_Repositories,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
0,Large_Class_smell_metrics,118,40627,32116,19482,1628,6097,112796,2804236125,155790895,18291307
1,Without_Large_Class_metrics,89,6128,1796,1555,117,345,6355,140196568,7788698,1037815
