,Repository,LOC,LLOC,SLOC,Comments,Single Comments,Multi,Blank,(C%L),(C%S),(C+M%L)
84,self-driving-car-using-ros,463,159,209,5,5,188,61,1%,2%,42%
85,self-driving-car-using-ros,407,186,253,16,16,73,65,4%,6%,22%
86,self-driving-car-using-ros,199,90,112,12,12,49,26,6%,11%,31%
87,self-driving-car-using-ros,202,93,115,12,12,49,26,6%,10%,30%
88,self-driving-car-using-ros,281,138,166,6,6,62,47,2%,4%,24%
89,self-driving-car-using-ros,656,219,344,7,4,211,97,1%,2%,33%
90,self-driving-car-using-ros,292,142,166,6,6,74,46,2%,4%,27%
91,self-driving-car-using-ros,357,146,151,5,4,144,58,1%,3%,42%
92,self-driving-car-using-ros,0,0,0,0,0,0,0,0%,0%,0%
93,self-driving-car-using-ros,362,164,183,5,5,119,55,1%,3%,34%
94,self-driving-car-using-ros,1283,627,781,29,27,321,154,2%,4%,27%
95,self-driving-car-using-ros,8,6,6,2,2,0,0,25%,33%,25%
96,self-driving-car-using-ros,3468,1581,1885,283,271,847,465,8%,15%,33%
97,self-driving-car-using-ros,2536,1189,1559,104,101,648,228,4%,7%,30%
98,self-driving-car-using-ros,958,568,687,55,43,63,165,6%,8%,12%
99,COLA,564,403,405,101,73,27,59,18%,25%,23%
100,COLA,416,305,309,71,41,27,39,17%,23%,24%
101,COLA,352,259,263,64,29,28,32,18%,24%,26%
102,COLA,447,334,338,68,38,27,44,15%,20%,21%
103,COLA,457,342,349,65,36,27,45,14%,19%,20%
104,COLA,350,266,273,48,19,28,30,14%,18%,22%
105,COLA,395,73,301,19,12,35,47,5%,6%,14%
106,COLA,1723,867,1231,234,190,122,180,14%,19%,21%
107,COLA,173,87,106,41,41,0,26,24%,39%,24%
108,COLA,139,68,68,2,2,55,14,1%,3%,41%
109,COLA,0,0,0,0,0,0,0,0%,0%,0%
110,COLA,263,143,158,3,3,74,28,1%,2%,29%
111,COLA,79,47,40,3,3,31,5,4%,8%,43%
112,COLA,265,183,174,16,20,19,52,6%,9%,13%
113,COLA,0,0,0,0,0,0,0,0%,0%,0%
114,COLA,229,164,151,12,9,35,34,5%,8%,21%
115,COLA,104,70,70,7,5,7,22,7%,10%,13%
116,COLA,6,2,5,0,0,0,1,0%,0%,0%
117,COLA,0,0,0,0,0,0,0,0%,0%,0%
118,GAIS-Net,66,31,52,1,0,0,14,2%,2%,2%
119,GAIS-Net,109,65,88,6,5,0,16,6%,7%,6%
120,GAIS-Net,188,98,145,11,8,3,32,6%,8%,7%
121,GAIS-Net,252,116,165,47,42,3,42,19%,28%,20%
122,GAIS-Net,81,51,51,10,10,0,20,12%,20%,12%
123,GAIS-Net,237,154,181,26,19,3,34,11%,14%,12%
124,GAIS-Net,1,0,0,1,1,0,0,100%,100%,100%
