,Repository,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
101,CVPR2023-3D-Occupancy-Prediction,8.6211818441336,2,0,0,1.2939186888548746,8.330275229357799,32336.09640771265,1796.4498004284806,3881.756066564624
102,CVPR2023-3D-Occupancy-Prediction,22.326481977956508,51,21,1,8.336596621952312,71.02583025830258,1776341.0898081707,98685.61610045393,25009.789865856936
103,l5kit,12.734229373099186,19,21,1,4.168451376896641,51.69859813084112,646509.2776863923,35917.18209368846,12505.354130689922
104,Ultra-Fast-Lane-Detection,15.609514370664023,19,8,0,2.9583666875639647,55.42307692307692,491885.35347457766,27326.96408192098,8875.100062691894
105,PythonRobotics,6.207139089150695,34,6,1,7.087672300053957,166.20253164556965,3533967.2392294356,196331.5132905242,21263.01690016187
106,PythonRobotics,4.32509505703422,2,2,0,1.0544365791229628,29.869565217391305,94486.68650314899,5249.260361286055,3163.309737368889
107,PythonRobotics,70.03484320557492,1,3,1,0.189931946073346,14.181818181818183,8080.740978393266,448.9300543551815,569.7958382200379
108,PythonRobotics,19.601328903654483,27,11,1,3.882397561815216,76.86734693877551,895288.801014919,49738.266723051056,11647.192685445647
109,MotionPlanning,14.361879373542152,2,7,1,3.693999218635565,97.60169491525424,1081621.754263368,60090.097459076,11081.997655906694
110,CVPR2023-3D-Occupancy-Prediction,58.26494724501759,1,6,1,0.08100100417940709,9.307692307692308,2261.7972705480597,125.65540391933665,243.00301253822127
111,PythonRobotics,5.39906103286385,7,0,0,0.5372002107155077,52.608695652173914,84784.20716944752,4710.2337316359735,1611.6006321465231
112,l5kit,9.889702474742794,0,9,1,5.640953331175449,103.06153846153846,1744095.9861020462,96894.22145011368,16922.85999352635
113,l5kit,53.619336876740064,0,4,1,1.3831345766392211,47.392405063291136,196650.222339389,10925.012352188278,4149.403729917663
114,CVPR2023-3D-Occupancy-Prediction,1.1297709923664123,2,0,0,1.5510660332153963,10.0,46531.98099646189,2585.110055358994,4653.198099646189
115,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
116,PythonRobotics,7.780979827089337,3,4,1,0.04666666666666667,6.0,840.0,46.666666666666664,140.0
117,l5kit,40.333333333333336,0,4,0,1.5214442833844688,43.53521126760563,198709.19492710108,11039.399718172283,4564.332850153406
118,l5kit,60.339204174820615,0,3,0,0.2536993065053879,21.217391304347824,16148.512379299473,897.1395766277485,761.0979195161638
119,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
120,PythonRobotics,50.34435261707989,5,3,0,0.7053190309729901,30.659090909090907,64873.320871538424,3604.0733817521345,2115.9570929189704
121,PythonRobotics,12.544059713871034,15,12,1,2.0756891413792253,47.00892857142857,292727.76775075775,16262.653763930986,6227.067424137676
122,PythonRobotics,15.524273121957638,15,4,1,3.3583243528550035,82.11023622047244,827258.4177536687,45958.80098631493,10074.97305856501
123,l5kit,15.22633744855967,0,5,1,0.5288090414263363,52.5,83287.42402464797,4627.079112480443,1586.4271242790091
124,pylot,16.459919582513475,15,13,1,3.8648370043507274,61.12359550561798,708698.2012472345,39372.12229151303,11594.511013052183
125,l5kit,2.5186236253990777,0,10,1,1.0895964591434093,31.83582089552239,104064.59316505487,5781.366286947493,3268.789377430228
126,pylot,22.961224134933055,24,11,1,2.6338723967363795,78.35585585585585,619137.9775841801,34396.554310232226,7901.617190209139
127,l5kit,44.41624365482234,1,8,1,0.7142623067067064,35.297872340425535,75635.81915913358,4201.989953285199,2142.7869201201192
128,PythonRobotics,6.56327887011908,18,5,1,1.7411533713338334,38.626126126126124,201762.0291782111,11209.001621011726,5223.4601140015
129,pylot,26.153259626382006,1,12,1,0.6438789825660394,22.063492063492063,42618.65646508546,2367.7031369491924,1931.636947698118
130,l5kit,23.90149060272197,4,13,1,1.9632272070263441,52.5,309208.28510664916,17178.238061480508,5889.681621079032
131,pylot,12.615812229771464,4,8,1,2.4382890341179153,46.37096774193548,339197.4664397906,18844.303691099478,7314.867102353746
132,VoxFormer,26.410093299406277,3,19,1,3.6915220365055483,65.91842105263159,730017.9117823223,40556.55065457346,11074.566109516645
133,pylot,26.730343300110743,9,15,1,2.001027008846346,66.15151515151516,397112.9054828703,22061.828082381682,6003.081026539037
134,Cam2BEV,33.33868378812199,16,4,0,1.9556714961518522,39.85333333333333,233820.08407991545,12990.004671106413,5867.014488455557
135,pylot,31.247600767754317,18,17,1,2.251490180533145,33.834375,228533.28923092838,12696.293846162687,6754.470541599435
136,VoxFormer,0.5910717063306891,2,0,0,2.07730286441732,12.0,74782.90311902353,4154.60572883464,6231.90859325196
137,CVPR2023-3D-Occupancy-Prediction,21.434820647419073,2,0,0,1.0628832554794014,13.442622950819672,42863.81653244799,2381.323140691555,3188.649766438204
138,CVPR2023-3D-Occupancy-Prediction,57.086871325930765,1,12,1,0.08252932501298081,9.307692307692308,2304.47269074708,128.02626059706,247.58797503894243
139,pylot,37.50406239844004,0,6,1,0.45672741736844813,18.9375,25947.826399244957,1441.5459110691643,1370.1822521053443
140,PythonRobotics,0.0,3,3,1,0.11920902501875007,11.071428571428573,3959.442616694199,219.96903426078882,357.6270750562502
141,PythonRobotics,10.585360435410418,33,7,1,4.044198712853698,96.58333333333333,1171806.577049359,65100.36539163106,12132.596138561094
142,PythonRobotics,0.0,3,5,1,0.027920602761755765,4.0,335.04723314106917,18.613735174503844,83.76180828526729
143,pylot,21.28725145038925,38,14,1,5.288094616870561,104.3539603960396,1655500.8486582623,91972.26936990346,15864.283850611684
144,RTM3D,36.1518550474547,0,3,1,0.25994771322627125,14.068965517241379,10971.586240998484,609.5325689443603,779.8431396788138
145,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
146,Cam2BEV,26.307551845571933,36,8,0,4.337748464173729,51.230769230769226,666678.5716476239,37037.698424867995,13013.245392521188
147,RTM3D,40.94052558782849,2,2,0,0.21197761838543078,10.080000000000002,6410.203179975429,356.1223988875238,635.9328551562924
148,l5kit,9.047619047619047,0,4,1,0.7179854296553533,42.75,92081.63135329905,5115.646186294392,2153.9562889660597
149,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
150,PythonRobotics,5.907467784505512,37,14,1,6.624947921762651,99.03508771929825,1968306.89570264,109350.38309459112,19874.84376528795
151,l5kit,6.938929854414823,0,6,1,2.275664850091934,90.51724137931035,617960.7136025511,34331.15075569729,6826.994550275803
152,PythonRobotics,8.970099667774086,3,5,1,0.038149653185003164,3.8500000000000005,440.62849428678663,24.47936079371037,114.4489595550095
153,CVPR2023-3D-Occupancy-Prediction,10.347551342812006,2,0,0,0.430042112555529,4.0,5160.505350666348,286.694741703686,1290.126337666587
154,pylot,28.013223140495867,24,7,1,3.4181990185381927,98.4375,1009436.8976620601,56079.82764789223,10254.597055614578
155,SqueezeSeg,11.015278462296697,16,17,1,2.956350648650654,37.33333333333333,331111.2726488732,18395.07070271518,8869.051945951962
156,l5kit,8.843308675184936,0,9,1,1.000596917664286,40.94827586206897,122918.15583375926,6828.786435208847,3001.7907529928575
157,VoxFormer,14.95628163828808,10,7,1,4.342110426757859,123.94736842105263,1614579.4823707512,89698.8601317084,13026.331280273576
158,VoxFormer,9.898325358851675,2,0,0,1.214437704932133,9.669421487603305,35228.73011827923,1957.151673237735,3643.313114796399
159,PythonRobotics,10.778052912811155,25,15,1,3.3638420402520244,63.66442953020134,642471.253567061,35692.84742039228,10091.526120756072
160,PythonRobotics,60.15531660692951,0,4,1,0.9807026527721231,99.47916666666666,292678.44793668046,16259.913774260025,2942.107958316369
161,PythonRobotics,23.771494352111663,38,6,1,5.198134977147574,100.88888888888889,1573302.1864166656,87405.67702314809,15594.404931442721
162,pylot,20.991122598044726,26,7,1,2.5184117962576202,90.1530612244898,681127.5985694717,37840.42214274843,7555.235388772861
163,l5kit,6.961673764117756,0,7,1,3.025849522434756,77.58947368421053,704322.2156799975,39129.01198222208,9077.548567304268
164,pylot,30.135610246107483,5,14,1,1.5402366028206997,31.075757575757578,143592.05783569344,7977.336546427414,4620.709808462099
165,Cam2BEV,25.853805966927162,38,13,1,6.609568144692001,103.10240963855422,2044387.2071639206,113577.06706466226,19828.704434076004
166,MotionPlanning,39.801699716713884,2,2,0,0.16420038636414502,4.622222222222222,2276.9120242494773,126.49511245830429,492.60115909243507
167,pylot,5.009809417040358,32,11,1,3.005167647036939,32.67785234899329,294607.273961534,16367.07077564078,9015.502941110817
168,l5kit,2.802989855846236,9,12,1,2.1596416690181073,55.24390243902439,357921.1009994644,19884.505611081357,6478.925007054322
169,VoxFormer,23.015216145667537,15,30,1,6.64896701469874,76.61421319796955,1528216.1292311891,84900.8960683994,19946.90104409622
170,PythonRobotics,0.0,3,3,1,0.03951214079875328,4.55,539.3407219029823,29.96337343905457,118.53642239625984
171,CVPR2023-3D-Occupancy-Prediction,35.15168698610717,26,20,1,4.143234302959805,75.03821656050955,932702.7386592892,51816.818814404956,12429.702908879417
172,MotionPlanning,1.8804739824832561,8,7,1,2.71488288386178,47.33455882352941,385523.3506954458,21417.963927524765,8144.648651585339
173,l5kit,8.137614678899082,0,12,1,4.638991249770798,72.54545454545455,1009613.1865410262,56089.62147450146,13916.973749312392
174,PythonRobotics,9.926470588235293,3,4,1,0.027920602761755765,4.0,335.04723314106917,18.613735174503844,83.76180828526729
175,CVPR2023-3D-Occupancy-Prediction,16.041397153945667,15,14,1,0.8583322606162979,34.180851063829785,88015.58149021803,4889.754527234335,2574.9967818488935
176,PythonRobotics,24.92775339826608,34,10,1,8.543982098625916,119.22051282051282,3055853.7819823893,169769.6545545772,25631.946295877748
177,Ultra-Fast-Lane-Detection,19.136960600375236,2,0,0,0.11708241808752198,2.111111111111111,741.5219812209725,41.19566562338736,351.24725426256595
178,PythonRobotics,9.89010989010989,3,4,1,0.05499965662986,4.857142857142857,801.4235680351028,44.52353155750571,164.99896988958
179,PythonRobotics,11.73913043478261,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
180,PythonRobotics,8.206686930091186,3,5,1,0.04672720264787944,4.083333333333334,572.4082324365232,31.800457357584623,140.1816079436383
181,l5kit,39.836984207845134,0,7,1,0.582,36.60526315789474,63912.78947368421,3550.7105263157896,1746.0
182,CVPR2023-3D-Occupancy-Prediction,13.43811394891945,21,7,1,1.336171388511272,28.139240506329113,112796.5441769832,6266.474676499067,4008.514165533816
183,CVPR2023-3D-Occupancy-Prediction,2.578205568924029,2,0,0,1.1098467485479253,8.382978723404255,27911.46503794995,1550.636946552775,3329.540245643776
184,Ultra-Fast-Lane-Detection,0.533997864008544,19,14,1,2.3956400854020896,35.69259259259259,256519.8167002215,14251.100927790083,7186.920256206269
185,MotionPlanning,0.4604758250191865,3,5,1,1.6394866859407893,39.5,194279.17228398353,10793.287349110196,4918.460057822368
186,CVPR2023-3D-Occupancy-Prediction,18.056475784824105,89,40,1,9.681295678928226,106.66451612903226,3097952.1572849103,172108.45318249502,29043.88703678468
187,PythonRobotics,0.0,3,3,1,0.050412041708754185,6.222222222222222,941.0247785634115,52.27915436463397,151.23612512626255
188,CVPR2023-3D-Occupancy-Prediction,22.86711677152064,49,19,1,8.00834665679018,70.90076335877863,1703393.67362444,94632.98186802445,24025.039970370544
189,PythonRobotics,63.05360241073875,28,4,0,4.7864005909441545,96.41970802919708,1384510.0424688351,76917.22458160196,14359.201772832463
190,pylot,56.58536585365854,2,0,0,0.06626956412160623,13.928571428571429,2769.1210722242604,153.84005956801445,198.80869236481868
191,l5kit,7.154624617557072,8,20,1,1.8047921301155403,25.242424242424242,136671.985853295,7592.888102960833,5414.376390346621
192,CVPR2023-3D-Occupancy-Prediction,0.0,2,0,0,0.04533333333333334,4.199999999999999,571.1999999999999,31.73333333333333,136.0
193,pylot,14.296844565640827,1,11,1,0.7883798763432363,25.53125,60384.97115366475,3354.720619648042,2365.139629029709
194,CVPR2023-3D-Occupancy-Prediction,3.2016348773841963,4,1,0,0.8165245611966128,28.285714285714285,69287.94133582685,3849.330074212603,2449.5736835898383
195,l5kit,0.0,1,4,1,0.07183107917796477,8.214285714285714,1770.123022599846,98.34016792221367,215.49323753389433
196,l5kit,1.6570605187319885,0,8,1,1.4793311742036428,44.875,199154.95932716542,11064.164407064745,4437.993522610928
197,l5kit,27.596785078839194,40,15,1,4.596527315255565,88.2,1216241.1276166225,67568.9515342568,13789.581945766695
198,l5kit,56.71378091872791,6,4,0,0.29570805179006765,16.96969696969697,15054.228091130717,836.3460050628177,887.124155370203
199,CVPR2023-3D-Occupancy-Prediction,32.79380717804363,0,8,1,0.2026070850563862,12.75,7749.721003406772,430.5400557448207,607.8212551691586
200,PythonRobotics,37.80653950953678,0,11,1,1.2842509459770426,32.023809523809526,123379.82302422303,6854.434612456836,3852.752837931128
201,CVPR2023-3D-Occupancy-Prediction,31.360332294911736,2,0,0,0.29448002125043404,6.787878787878788,5996.684069099749,333.14911494998603,883.4400637513022
202,CVPR2023-3D-Occupancy-Prediction,23.122448979591837,2,0,0,1.0991847543721307,13.548387096774194,44676.54162931886,2482.0300905177146,3297.554263116392
203,pylot,24.37299893276414,7,13,1,1.9164021164823561,38.62264150943396,222049.53579845565,12336.085322136425,5749.2063494470685
204,CVPR2023-3D-Occupancy-Prediction,7.432762836185819,2,0,0,2.7493004822970835,14.744736842105265,121613.13633403074,6756.285351890597,8247.90144689125
205,CVPR2023-3D-Occupancy-Prediction,27.953890489913544,2,0,0,0.07174118457205308,2.588235294117647,557.0491978535887,30.947177658532706,215.22355371615927
206,pylot,23.04085733422639,4,5,1,0.3668277098155269,20.606060606060606,22676.62206132348,1259.8123367401934,1100.4831294465807
207,SqueezeSeg,24.649532710280372,8,7,1,1.1220069399170587,48.80701754385965,164285.4372025925,9126.96873347736,3366.020819751176
208,PythonRobotics,11.25,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
209,PythonRobotics,16.4632204649188,24,12,1,5.081632153944352,69.54455445544555,1060199.532157578,58899.97400875433,15244.896461833056
